Внешний код;Артикул;Наименование номенклатуры;ВидНоменклатуры;ЕдиницаИзмерения;Бренд;Тип;Серия;Модель;Цвет;Высота;Ширина;Толщина;Стекло;Эксклюзив;Стиль;Путь к фото;Цена ЦФО Оптовая;Цена СЗФО Оптовая;Цена СФО Оптовая;Цена ЮФО Оптовая;Цена УФО Оптовая;Цена ЦФО Розница;Цена СЗФО Розница;Цена СФО Розница;Цена ЮФО Розница;Цена УФО Розница;Цена ДВФО Розница;
00-00026113;SC-00026113;Наличник плоский XN 10*80*2440 Стоун;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Стоун;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00019201;SC-00019201;Наличник плоский XN 10*80*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Дуб Салинас Светлый;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00026482;SC-00026482;Наличник плоский XN 10*80*2440 Грувд Серый;Погонаж;шт;PROFILDOORS;Наличник;XN,ZN;;Грувд Серый;2440;80;10;;;;;619.00;625.00;644.00;631.00;638.00;867.00;876.00;902.00;884.00;893.00;919.00;
00-00019779;SC-00019779;Добор 10*100*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Дуб Салинас Светлый;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00019781;SC-00019781;Добор 10*150*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Дуб Салинас Светлый;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00026928;SC-00026928;Добор 10*200*2440 Дуб Салинас Светлый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Дуб Салинас Светлый;2440;200;10;;;;;1899.00;1918.00;1975.00;1937.00;1956.00;2659.00;2686.00;2765.00;2712.00;2739.00;2819.00;
00-00025851;SC-00025851;Добор XN 10*100*2440 Грувд Серый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Грувд Серый;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00025852;SC-00025852;Добор XN 10*100*2440 Монблан;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Монблан;2440;100;10;;;;;949.00;958.00;987.00;968.00;977.00;1329.00;1342.00;1382.00;1356.00;1369.00;1409.00;
00-00025855;SC-00025855;Добор XN 10*150*2440 Грувд Серый;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Грувд Серый;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
00-00025856;SC-00025856;Добор XN 10*150*2440 Монблан;Погонаж;шт;PROFILDOORS;Добор;XN,ZN;;Монблан;2440;150;10;;;;;1072.00;1083.00;1115.00;1093.00;1104.00;1501.00;1516.00;1561.00;1531.00;1546.00;1591.00;
